arraySize;tInsSort;tSelSort;tMergeSort;tQuickSort
8200;46.39832;365.220807;1.196603;1.595003
8250;46.533608;420.254258;1.954684;2.358684
8300;46.892822;361.45839;1.178875;1.622061
8350;46.989857;357.877913;1.170478;1.672445
8400;47.433509;356.578678;1.238122;1.593604
8450;47.630377;357.45572;1.247452;1.648653
8500;48.440708;361.154691;1.193804;1.605267
8550;48.604454;358.106503;1.218528;1.556283
8600;49.591592;356.211533;1.189138;1.597803
8650;51.593394;356.57168;1.184939;1.598736
8700;49.558003;358.847791;1.218529;1.612265
8750;51.098425;364.820074;1.189139;1.653784
8800;51.831781;363.61694;1.302501;1.634657
8850;54.116289;360.288845;1.185407;1.634191
8900;52.985932;359.854523;1.195669;1.582874
8950;52.696228;357.652122;1.187272;1.568412
9000;53.559741;358.660253;1.190537;1.559549
9050;53.724886;358.633195;1.188672;1.606667
9100;56.322423;358.360286;1.191004;1.591738
9150;54.738149;356.039391;1.311364;2.368947
9200;55.372605;358.976082;1.202667;1.61413
9250;55.713159;358.034194;1.216196;1.58614
9300;55.714091;361.9319;1.201268;1.551151
9350;56.814593;361.995346;1.187272;1.580542
9400;57.725224;357.519165;1.198002;1.596403
9450;57.985537;358.946225;1.21153;1.572145
9500;58.230456;356.900105;1.166746;1.542754
9550;62.292839;358.177413;1.195669;1.625327
9600;62.444456;363.858593;1.192404;1.638389
9650;60.502834;359.39221;1.210131;1.605267
9700;60.850385;393.964458;1.271244;1.751285
9750;65.733364;399.962399;1.205466;1.615063
9800;68.204476;364.462258;1.195203;1.636523
9850;63.98721;374.066335;2.078776;2.516831
9900;64.965485;400.239973;1.299701;1.568878
9950;63.902771;356.256785;1.147619;1.578209
10000;65.340094;398.473293;1.868379;2.395537
